"","beta0","beta1","gamma","n_dataset","n_obs","num_multistart","theta.omega","theta.mu","theta.tau","theta.t","theta.gamma","theta.sigma","rmse.omega","rmse.mu","rmse.tau","rmse.gamma","rmse.t","rmse.sigma"
"1",15.2426406871193,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0086,0.052,0.16,0.15,0.064
"2",13.2426406871193,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.17,0.0084,0.058,0.19,0.17,0.078
"3",11.2426406871193,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.19,0.0093,0.059,0.21,0.19,0.094
"4",9.24264068711929,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1,0.42,2.3,12,1.2e+10,2.2
"5",7.24264068711929,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.7,0.87,0.89,2.3,1e+14,1.8
"6",13.2426406871193,0.9,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.14,0.0093,0.05,0.15,0.13,0.059
"7",13.2426406871193,0.7,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.27,0.01,0.39,0.21,3.1,0.071
"8",13.2426406871193,0.5,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.64,0.044,1.1,0.41,11,0.1
"9",13.2426406871193,0.3,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.1,0.093,1.8,0.65,16,0.15
"10",13.2426406871193,0.1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.3,0.4,6.2,0.82,230,0.18
"11",15.2426406871193,1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.14,0.0086,0.044,0.15,0.14,0.063
"12",13.2426406871193,1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0083,0.051,0.16,0.15,0.069
"13",11.2426406871193,1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.22,0.0092,0.064,0.27,0.2,0.12
"14",9.24264068711929,1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1,0.35,2.4,12,6.5e+09,2.3
"15",7.24264068711929,1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.7,0.93,0.76,2.1,1.1e+11,1.2
"16",13.2426406871193,0.9,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0072,0.039,0.16,0.15,0.07
"17",13.2426406871193,0.7,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.22,0.02,0.25,0.19,1.6,0.07
"18",13.2426406871193,0.5,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.62,0.056,1.1,0.39,9.6,0.091
"19",13.2426406871193,0.3,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1,0.095,1.8,0.64,18,0.15
"20",13.2426406871193,0.1,0.1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.3,0.45,5.6,0.8,120,0.18
"21",15.2426406871193,1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.13,0.0086,0.05,0.13,0.14,0.065
"22",13.2426406871193,1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.16,0.0082,0.048,0.18,0.16,0.073
"23",11.2426406871193,1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.22,0.0093,0.07,0.25,0.21,0.11
"24",9.24264068711929,1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1,0.33,1.8,14,6.4e+10,2.7
"25",7.24264068711929,1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.7,0.86,0.81,1.9,1.3e+11,1.3
"26",13.2426406871193,0.9,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.14,0.0074,0.05,0.14,0.15,0.06
"27",13.2426406871193,0.7,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.23,0.0076,0.34,0.19,3.7,0.077
"28",13.2426406871193,0.5,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.67,0.058,1.1,0.42,8.9,0.11
"29",13.2426406871193,0.3,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.98,0.1,1.7,0.61,17,0.14
"30",13.2426406871193,0.1,10,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.4,0.36,7.6,0.82,370,0.18
