"","beta0","beta1","method","n_dataset","n_obs","n_multistart"
"1",10,0.1,"BFGS",100,299,5
"2",10,0.35,"BFGS",100,299,5
"3",10,0.6,"BFGS",100,299,5
"4",10,0.85,"BFGS",100,299,5
"5",10,1.1,"BFGS",100,299,5
"6",5,0.1,"BFGS",100,299,5
"7",5,0.225,"BFGS",100,299,5
"8",5,0.35,"BFGS",100,299,5
"9",5,0.475,"BFGS",100,299,5
"10",5,0.6,"BFGS",100,299,5
"11",2.5,0.1,"BFGS",100,299,5
"12",2.5,0.1625,"BFGS",100,299,5
"13",2.5,0.225,"BFGS",100,299,5
"14",2.5,0.2875,"BFGS",100,299,5
"15",2.5,0.35,"BFGS",100,299,5
"16",1.25,0.1,"BFGS",100,299,5
"17",1.25,0.13125,"BFGS",100,299,5
"18",1.25,0.1625,"BFGS",100,299,5
"19",1.25,0.19375,"BFGS",100,299,5
"20",1.25,0.225,"BFGS",100,299,5
"21",0.625,0.1,"BFGS",100,299,5
"22",0.625,0.115625,"BFGS",100,299,5
"23",0.625,0.13125,"BFGS",100,299,5
"24",0.625,0.146875,"BFGS",100,299,5
"25",0.625,0.1625,"BFGS",100,299,5
"26",0.3125,0.1,"BFGS",100,299,5
"27",0.3125,0.1078125,"BFGS",100,299,5
"28",0.3125,0.115625,"BFGS",100,299,5
"29",0.3125,0.1234375,"BFGS",100,299,5
"30",0.3125,0.13125,"BFGS",100,299,5
"31",0.15625,0.1,"BFGS",100,299,5
"32",0.15625,0.10390625,"BFGS",100,299,5
"33",0.15625,0.1078125,"BFGS",100,299,5
"34",0.15625,0.11171875,"BFGS",100,299,5
"35",0.15625,0.115625,"BFGS",100,299,5
"36",0.078125,0.1,"BFGS",100,299,5
"37",0.078125,0.101953125,"BFGS",100,299,5
"38",0.078125,0.10390625,"BFGS",100,299,5
"39",0.078125,0.105859375,"BFGS",100,299,5
"40",0.078125,0.1078125,"BFGS",100,299,5
"41",0.0390625,0.1,"BFGS",100,299,5
"42",0.0390625,0.1009765625,"BFGS",100,299,5
"43",0.0390625,0.101953125,"BFGS",100,299,5
"44",0.0390625,0.1029296875,"BFGS",100,299,5
"45",0.0390625,0.10390625,"BFGS",100,299,5
"46",0.01953125,0.1,"BFGS",100,299,5
"47",0.01953125,0.10048828125,"BFGS",100,299,5
"48",0.01953125,0.1009765625,"BFGS",100,299,5
"49",0.01953125,0.10146484375,"BFGS",100,299,5
"50",0.01953125,0.101953125,"BFGS",100,299,5
