"beta0","beta1","gamma","n_dataset","n_obs","num_multistart","theta.omega","theta.mu","theta.tau","theta.t","theta.gamma","theta.sigma","rmse.omega","rmse.mu","rmse.tau","rmse.gamma","rmse.t","rmse.sigma"
15,1,1,100,299,1,0.367879441171442,10,1,1,1,1.4142135623731,1.5,1.2,11,0.88,330,0.19
15,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0095,0.049,0.15,0.15,0.065
11,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.34,0.33,3.2,0.31,180,0.13
9,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,1.2,0.88,3.5,11,1.8e+11,2.1
15,0.8,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.36,0.023,0.57,0.26,4.2,0.078
15,0.6,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.94,0.068,1.6,0.58,14,0.13
15,1,0.1,100,299,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.044,0.048,0.7,0.43,3,0.043
15,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.016,0.016,0.07,0.16,0.15,0.027
11,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.021,0.015,0.084,0.21,0.18,0.053
9,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.042,0.094,1.1,0.43,19,0.15
15,0.8,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.033,0.023,0.37,0.32,1.2,0.022
15,0.6,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.057,0.022,0.58,0.55,1.7,0.029
15,1,10,100,299,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,860,0.0049,0.042,0.5,1.6,0.31
15,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,610,0.0032,0.024,0.49,1.4,0.31
11,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,5800,1,9.4,0.71,5800,0.39
9,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,18000,0.7,4.3,0.94,1.9e+12,0.84
15,0.8,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,450,0.0032,0.022,0.43,1.2,0.27
15,0.6,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,7300,0.033,0.93,0.58,45,0.37
14,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.17,0.0088,0.051,0.2,0.17,0.072
13,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0081,0.049,0.16,0.15,0.068
12,1,1,100,299,10,0.367879441171442,10,1,1,1,1.4142135623731,0.18,0.0083,0.057,0.2,0.17,0.091
14,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.016,0.014,0.072,0.16,0.14,0.029
13,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.015,0.014,0.065,0.15,0.14,0.035
12,1,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.017,0.013,0.074,0.17,0.16,0.047
15,0.9,0.1,100,999,10,0.90483741803596,10,1,9.99999999999999,0.1,0.447213595499958,0.018,0.015,0.11,0.18,0.29,0.027
14,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,540,0.0036,0.024,0.45,1.3,0.28
13,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,390,0.0032,0.027,0.42,1,0.25
12,1,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,440,0.0036,0.03,0.5,1.1,0.27
15,0.9,10,100,999,10,4.53999297624849e-05,10,1,0.1,10,4.47213595499958,470,0.0034,0.023,0.42,1.1,0.26
